,Unnamed: 0,Unnamed: 1,Unnamed: 2,role,target,hate_speech,verbal_abuse,humor
0,Theo68,09:13:10 AM, wsh canapeche,bully_support,none,no,none,no
1,Soan,09:13:11 AM, Pourquoi tu dis ça Adrien ?????,victim_support,none,no,none,no
2,SilviaVictime,09:13:15 AM, What ?,victim,none,no,none,no
3,Adrien94,09:13:23 AM, ca va te ken betement,bully,none,no,none,no
4,Diana,09:13:48 AM, waaaa abuse,bully_support,none,no,none,no
5,Adrien94,09:13:53 AM, Soan ptite pute Soan arrete de pomper a tout va,bully,victim_support,no,aggression-other,no
6,Soan,09:14:11 AM, Sérieux tu te prends pour qui ?,victim_support,none,no,none,no
7,SilviaVictime,09:14:29 AM," T'es serieux, qu'es tu veut Adrien",victim,none,no,none,no
8,camille,09:14:30 AM, essuie toi la bouche il ten reste encore un peu,bully_support,victim_support,no,aggression-other,no
9,Adrien94,09:14:46 AM, en plus t’es trop vilan Soan tu passe pas les portes,bully,victim_support,no,denigration,no
10,hebert,09:15:01 AM, calma mi amigo,conciliator,none,no,none,no
11,Soan,09:15:09 AM, C'est votre pote le chauffeur Pas Silvia,victim_support,none,no,none,no
12,Adrien94,09:15:22 AM, tg,bully,victim_support,no,aggression-other,no
13,Adrien94,09:15:34 AM, t’as pas le droit a la parole femme arrete de parler hebert,bully,victim,yes,aggression-other,no
14,Soan,09:15:49 AM, Et ta mère ?,victim_support,bully,no,aggression-other,no
15,Theo68,09:16:16 AM, t'es une pute t'as trahi ta camarde,bully_support,victim,no,aggression-other,no
16,Diana,09:16:48 AM," tu prend les mec des autres, on a toujours su que t'etais une connasse",bully_support,victim,no,denigration,no
17,hebert,09:16:53 AM, c’est juste une petite erreur des deux faut pas s’emballer,conciliator,none,no,none,no
18,Soan,09:17:02 AM, C'est votre pote la pute ici,victim_support,bully,no,name_calling,no
19,Adrien94,09:17:06 AM, silvia on a toujours dis que t etais une traînée,bully,victim,no,denigration,no
20,Soan,09:17:07 AM, Pas Silvia,victim_support,none,no,none,no
21,Adrien94,09:17:11 AM, que ca pompe,bully,none,no,none,no
22,Theo68,09:17:12 AM, on va te mmeler,bully_support,none,no,none,no
23,camille,09:17:12 AM, ta gueule tu defends une salope,bully_support,victim_support,no,aggression-other,no
24,Adrien94,09:17:32 AM, Soan reprend parti jte baise,bully,victim_support,no,threat,no
25,hebert,09:17:54 AM, oh Soan sale bougnoule ftg,conciliator,victim_support,yes,aggression-other,no
26,Adrien94,09:18:02 AM, bougnoule !!,bully,victim_support,yes,name_calling,no
27,Soan,09:18:06 AM, Racisme,victim_support,none,no,none,no
28,Theo68,09:18:12 AM, tg,bully_support,victim_support,no,aggression-other,no
29,Adrien94,09:18:19 AM, tg t’as pas le droit a la parole Soan,bully,victim_support,no,aggression-other,no
