ID,TIME,NAME,TEXT,ROLE,TARGET,HATE_SPEECH,VERBAL_ABUSE,HUMOR
0,09:13:10 AM,Theo68, wsh canapeche,bully_support,none,no,none,no
1,09:13:11 AM,Soan, Pourquoi tu dis ça Adrien ?????,victim_support,none,no,none,no
2,09:13:15 AM,SilviaVictime, What ?,victim,none,no,none,no
3,09:13:23 AM,Adrien94, ca va te ken betement,bully,none,no,none,no
4,09:13:48 AM,Diana, waaaa abuse,bully_support,none,no,none,no
5,09:13:53 AM,Adrien94, Soan ptite pute Soan arrete de pomper a tout va,bully,victim_support,no,aggression-other,no
6,09:14:11 AM,Soan, Sérieux tu te prends pour qui ?,victim_support,none,no,none,no
7,09:14:29 AM,SilviaVictime," T'es serieux, qu'es tu veut Adrien",victim,none,no,none,no
8,09:14:30 AM,camille, essuie toi la bouche il ten reste encore un peu,bully_support,victim_support,no,aggression-other,no
9,09:14:46 AM,Adrien94, en plus t’es trop vilan Soan tu passe pas les portes,bully,victim_support,no,denigration,no
10,09:15:01 AM,hebert, calma mi amigo,conciliator,none,no,none,no
11,09:15:09 AM,Soan, C'est votre pote le chauffeur Pas Silvia,victim_support,none,no,none,no
12,09:15:22 AM,Adrien94, tg,bully,victim_support,no,aggression-other,no
13,09:15:34 AM,Adrien94, t’as pas le droit a la parole femme arrete de parler hebert,bully,victim,yes,aggression-other,no
14,09:15:49 AM,Soan, Et ta mère ?,victim_support,bully,no,aggression-other,no
15,09:16:16 AM,Theo68, t'es une pute t'as trahi ta camarde,bully_support,victim,no,aggression-other,no
16,09:16:48 AM,Diana," tu prend les mec des autres, on a toujours su que t'etais une connasse",bully_support,victim,no,denigration,no
17,09:16:53 AM,hebert, c’est juste une petite erreur des deux faut pas s’emballer,conciliator,none,no,none,no
18,09:17:02 AM,Soan, C'est votre pote la pute ici,victim_support,bully,no,name_calling,no
19,09:17:06 AM,Adrien94, silvia on a toujours dis que t etais une traînée,bully,victim,no,denigration,no
20,09:17:07 AM,Soan, Pas Silvia,victim_support,none,no,none,no
21,09:17:11 AM,Adrien94, que ca pompe,bully,none,no,none,no
22,09:17:12 AM,Theo68, on va te mmeler,bully_support,none,no,none,no
23,09:17:12 AM,camille, ta gueule tu defends une salope,bully_support,victim_support,no,aggression-other,no
24,09:17:32 AM,Adrien94, Soan reprend parti jte baise,bully,victim_support,no,threat,no
25,09:17:54 AM,hebert, oh Soan sale bougnoule ftg,conciliator,victim_support,yes,aggression-other,no
26,09:18:02 AM,Adrien94, bougnoule !!,bully,victim_support,yes,name_calling,no
27,09:18:06 AM,Soan, Racisme,victim_support,none,no,none,no
28,09:18:12 AM,Theo68, tg,bully_support,victim_support,no,aggression-other,no
29,09:18:19 AM,Adrien94, tg t’as pas le droit a la parole Soan,bully,victim_support,no,aggression-other,no
30,09:18:28 AM,SilviaVictime, Oh Lucas fait ce qu'il veut si il me prefère c'est son choix ! je n'y suis pour iren,victim,none,no,none,no
31,09:18:38 AM,Soan, Il te prefere tqt,victim_support,none,no,none,no
32,09:18:42 AM,SilviaVictime, laissez moi tranquille,victim,none,no,none,no
33,09:18:46 AM,Soan, Ils sont juste cons,victim_support,none,no,none,no
34,09:18:51 AM,Diana, mdrrr sale' serbe retourne dans ton pays,bully_support,victim_support,yes,aggression-other,yes
35,09:19:00 AM,SilviaVictime, Quelle est le rapport putain ??!!,victim,none,no,none,no
36,09:19:06 AM,Adrien94," Soan par pitier deja que personne t’aime, arrete de parler",bully,victim_support,no,denigration,no
37,09:19:09 AM,SilviaVictime, Tu est rasiste en plus d'etre con ? En quoi ça te concerne en plus ??.,victim,bully,no,denigration,no
38,09:19:39 AM,Adrien94, silvia tu merite,bully,victim,no,blaming,no
39,09:19:42 AM,Soan, Bande de racistes,victim_support,none,no,none,no
40,09:19:55 AM,Diana, Je defend mon pote tout simplement,bully_support,none,no,none,no
41,09:19:58 AM,hebert," mais laisser silvia et lucas faire ce qu’ils veulent, ça vous regarde pas",conciliator,none,no,none,no
42,09:20:02 AM,SilviaVictime," Adrien94  Tu n'as rie nd'autre a faire que de venir foutre la merde ici, tu as pas d'amis pour t'occuper ?",victim,bully,no,denigration,no
43,09:20:04 AM,Adrien94, bien dit Diana ! tg,bully,victim,no,aggression-other,no
44,09:20:10 AM,Theo68, pourquoi tu te mets à la place de la victime alors que c'est toi la tapin,bully_support,victim,no,aggression-other,no
45,09:20:13 AM,Adrien94, parle pas,bully,victim,no,aggression-other,no
46,09:20:32 AM,Soan, Vous bouffez votre seum parce que votre pote à pécho Silvia parce qu'elle est bien plus belle que Sophie,victim_support,none,no,none,no
47,09:20:43 AM,Adrien94, toi t’ez un thon trop vilaine et elle parle,bully,victim,no,denigration,no
48,09:21:01 AM,Diana," mais gros elle est dans sa classe allo elle a pas de respect pour elle, va sur les trottoirs c'est pareil",bully_support,victim,no,aggression-other,no
49,09:21:16 AM,SilviaVictime, Diana si tu as un minimum de cerveau tu ne suis pas les connerie d'adrien,victim,bully_support,no,denigration,no
50,09:21:22 AM,Soan, T'es super vilain Adrien,victim_support,bully,no,denigration,no
51,09:21:24 AM,camille, mdr quel seum t'es juste un bouche trou crois pas des bonne,bully_support,victim,no,denigration,no
52,09:21:24 AM,Adrien94, silvia t’as chatte toute degeulasse,bully,victim,no,aggression-other,no
53,09:21:25 AM,Theo68, tg Soan t'es au meme niveau que ta pote crasseuse,bully_support,victim_support,no,aggression-other,no
54,09:21:36 AM,Soan, Les conneries d'Adrien sont aussi grosses que lui,victim_support,bully,no,denigration,no
55,09:21:48 AM,Adrien94, Soan t’es panini,bully,none,no,none,no
56,09:22:00 AM,Soan, le rapport ???????????? T'es très peu futé,victim_support,bully_support,no,denigration,no
57,09:22:12 AM,Diana, silvia me parle pas sachant que tu fais la sainte nitouche alors que t'a bz 1000 mecs,bully_support,victim,no,aggression-other,no
58,09:22:15 AM,Adrien94, silvia parle si t as des couille grognasse,bully,victim,no,aggression-other,no
59,09:22:52 AM,hebert, mais adrien trkl ça te regarde pas,conciliator,none,no,none,no
60,09:23:03 AM,Adrien94, arrete d essayer de calmer,bully,none,no,none,no
61,09:23:03 AM,camille, ta bouche c'est un garage arrête de parler,bully_support,victim,no,aggression-other,no
62,09:23:10 AM,Adrien94, ou je vais t’attraper aussi,bully,none,no,none,no
63,09:23:15 AM,Diana, hebert tu sers a rien,bully_support,conciliator,no,aggression-other,no
64,09:23:16 AM,Soan, très peu stylé votre répartie... vous embrouillez pour rien,victim_support,none,no,none,no
65,09:23:26 AM,hebert, mskn,conciliator,none,no,none,no
66,09:23:29 AM,SilviaVictime," Og on c'est juste embrasser 1 fois, c'est quoi ce délire !",victim,none,no,none,no
67,09:23:30 AM,Theo68, tg petasse,bully_support,victim,no,aggression-other,no
68,09:23:58 AM,Adrien94, ta bouche c un garage a teub,bully,victim,no,aggression-other,no
69,09:24:05 AM,Theo68, on va devoir te coudre la bouche,bully_support,victim,no,aggression-other,no
70,09:24:36 AM,SilviaVictime," BOn, ta pas des arguments plutot que des insuste en boucle  Adrien ?",victim,none,no,none,no
71,09:24:42 AM,Diana, et alors frr elle etait en cvouple et toi t'embrasse le mec de ta collegue,bully_support,none,no,none,no
72,09:24:55 AM,Soan, Lucas a fauté,victim_support,none,no,none,no
73,09:25:01 AM,Theo68, parle francais le s,bully_support,victim,no,denigration,no
74,09:25:03 AM,hebert, mais alors ça te regarde pas Diana t’es qui pour intervenir dans la vie des gens,conciliator,none,no,none,no
75,09:25:11 AM,camille, et alors tu sais pas dire,bully_support,none,no,none,no
76,09:25:11 AM,Adrien94, je comprend meme pas pq il t’as embrasse sophi est pas grosse au moins,bully,victim,no,denigration,no
77,09:25:12 AM,Soan, C'est pas la faute de Silvia Soyez logique,victim_support,none,no,none,no
78,09:25:20 AM,SilviaVictime, C'est pas moi qui suis en couple et Lucas fait ce qu'il veut,victim,none,no,none,no
79,09:25:30 AM,Soan, Silvia a raison,victim_support,none,no,none,no
80,09:25:36 AM,Diana, et alors t'as pas de respect ou quoi,bully_support,none,no,none,no
81,09:25:37 AM,SilviaVictime, merci Soan,victim,none,no,none,no
82,09:25:37 AM,Adrien94, t’as aucune dignité et Soan pareil,bully,none,no,none,no
83,09:25:38 AM,hebert, de fou adrien arrête de faire la star je vais te chopper dans un coin,conciliator,bully,no,aggression-other,no
84,09:25:39 AM,Soan, soyez intelligent Adrien tg,victim_support,bully,no,aggression-other,no
85,09:25:48 AM,Theo68, t'es une pute et tu resteras toujours une pute,bully_support,victim,no,aggression-other,no
86,09:26:05 AM,Soan, tu prends ton seum theo car tu voulais pécho Silvia ? que ça mange son seum..,victim_support,bully_support,no,aggression-other,no
87,09:26:38 AM,Diana, je suis sur silvia tes trans,bully_support,victim,yes,denigration,no
88,09:26:40 AM,Theo68, je l'ai bz comme ta mère,bully_support,bully_support,no,aggression-other,no
89,09:26:47 AM,SilviaVictime," Adrien et ton fan club la, donne t'es arguement ?? qu'es que tu invente, t'as vue quoi d'apres toi ?",victim,none,no,none,no
90,09:26:55 AM,hebert, oh Diana tu parles trop tu fais de la peine p’tite pute,conciliator,victim,no,aggression-other,no
91,09:27:05 AM,Adrien94, j’ai vu c tout,bully,none,no,none,no
92,09:27:10 AM,Soan, Bien dit hebert,victim_support,none,no,none,no
93,09:27:11 AM,SilviaVictime, C'est toi uqi vien me parler,victim,none,no,none,no
94,09:27:15 AM,hebert, merci Soan,conciliator,none,no,none,no
95,09:27:19 AM,Diana, hebert je vais te niquer on se fait un tete ?,bully_support,conciliator,no,aggression-other,no
96,09:27:33 AM,Soan, Que de la bouche,victim_support,none,no,none,no
97,09:27:36 AM,hebert, je vais te retourner le trou de balle c’est tout ce qu’on vas faire,conciliator,bully_support,no,aggression-other,no
98,09:27:46 AM,Diana, aller go coquin,bully_support,none,no,none,no
99,09:27:52 AM,hebert, comment ça ?,conciliator,none,no,none,no
100,09:27:58 AM,Soan, 😏,victim_support,none,no,none,no
101,09:28:03 AM,hebert, 530 avenue des vignes je t’attend,conciliator,none,no,none,no
102,09:28:04 AM,Theo68, partouze,bully_support,none,no,none,no
103,09:28:12 AM,Soan, 😏😏😏😏😏,victim_support,none,no,none,no
104,09:28:18 AM,hebert, bref adrien calme toi,conciliator,none,no,none,no
105,09:28:34 AM,Adrien94, mais ferme ta gueule ?,bully,conciliator,no,aggression-other,no
106,09:28:37 AM,hebert, et laisse silvia et lucas faire leur vie mais bz ta mère,conciliator,bully,no,aggression-other,no
107,09:28:45 AM,Soan, Adrien tu te prends pour qui tu parles trop mal frr,victim_support,none,no,none,no
108,09:29:00 AM,Diana," silvia va ken hebert il a l'air detre chaud vu que toi ca te"" derange pas",bully_support,victim,no,aggression-other,no
109,09:29:03 AM,SilviaVictime, Quelle est le rapport avec le fait que je suis d'orgine Serbe ?,victim,none,no,none,no
110,09:29:13 AM,Soan, Ils sont racistes fort ici,victim_support,none,no,none,no
111,09:29:19 AM,Adrien94, ces putain de serbes de merdes,bully,victim,yes,aggression-other,no
112,09:29:21 AM,hebert, c’est un pure discrimination c’est chaud vraiment,conciliator,none,no,none,no
113,09:29:24 AM,Adrien94, tous les memes,bully,none,no,none,no
114,09:29:54 AM,hebert, oh luca arrête vraiment *adrien,conciliator,none,no,none,no
115,09:30:02 AM,Adrien94, c qui ca,bully,none,no,none,no
116,09:30:18 AM,SilviaVictime, Comme ça tous les meme ??,victim,none,no,none,no
117,09:30:21 AM,Adrien94, faute de frappe,bully,none,no,none,no
118,09:30:26 AM,SilviaVictime, Va si ecplique toi !,victim,none,no,none,no
119,09:30:31 AM,Soan, choqué du niveau de racisme,victim_support,none,no,none,no
120,09:30:32 AM,Adrien94, tu sais de quoi je parle salope,bully,victim,no,name_calling,no
121,09:30:35 AM,SilviaVictime, Explique toi !,victim,none,no,none,no
122,09:30:41 AM,Adrien94, articule stp,bully,none,no,none,no
123,09:30:48 AM,Diana, parle francais le reuf stp,bully_support,victim_support,no,denigration,no
124,09:30:51 AM,hebert, adrien parle mieux vraiment j’vais t’enculer respect la fdp,conciliator,bully,no,aggression-other,no
125,09:31:19 AM,SilviaVictime, +1 herbert,victim,none,no,none,no
126,09:31:44 AM,Adrien94, « +1 herbert » que tu suce,bully,conciliator,no,aggression-other,no
127,09:31:53 AM,hebert, c’est bon adrien c’est normal que t’es la haine par rapport à ton pote mais pas besoins d’allez aussi loin,conciliator,none,no,none,no
128,09:32:09 AM,Adrien94, hebert ?,bully,none,no,none,no
129,09:32:23 AM,hebert, adrien quoi ?,conciliator,none,no,none,no
130,09:32:25 AM,Adrien94, tg,bully,conciliator,no,aggression-other,no
131,09:32:28 AM,SilviaVictime, ￼c'est triste,victim,none,no,none,no
132,09:32:33 AM,Soan, Vraiment,victim_support,none,no,none,no
133,09:32:34 AM,hebert, je vais te retrouver,conciliator,bully,no,threat,no
134,09:32:34 AM,Adrien94, silvia ?,bully,none,no,none,no
135,09:32:37 AM,SilviaVictime, si peut d'argument,victim,none,no,none,no
136,09:32:38 AM,Soan, Ils prennent leurs seum C'est trop Silvia t'es trop belle pour eux,victim_support,none,no,none,no
137,09:32:54 AM,Adrien94, tg jvais te cracher dessus,bully,victim_support,no,aggression-other,no
138,09:33:08 AM,Diana, crache dans sa chatte,bully_support,victim,no,aggression-other,no
139,09:33:19 AM,Soan, Soyez digne sérieuix sérieux,victim_support,none,no,none,no
140,09:33:31 AM,Theo68, Diana elle a faim blup blup blup,bully_support,none,no,none,no
141,09:34:03 AM,camille, parle pas de dignité quand ta collègue pecho le mec de sa pote,bully_support,none,no,none,no
142,09:34:09 AM,Soan, C'est lui le fautif pas elle,victim_support,none,no,none,no
143,09:34:11 AM,Theo68, dis leur cam,bully_support,none,no,none,no
144,09:34:18 AM,Diana, elle aurait pu l'arreter,bully_support,none,no,none,no
145,09:34:19 AM,Soan," Elle est célibataire, il est en couple Soyez intelligents.",victim_support,none,no,none,no
146,09:34:34 AM,Adrien94, toi aussi t es une traine ton avis compte pas,bully,victim_support,no,aggression-other,no
147,09:34:45 AM,camille, elle a aucun respect cette crasseuse,bully_support,victim,no,name_calling,no
148,09:34:50 AM,Soan, Il a profité que sa meuf ai la grippe pour aller à droite et à gauche votre pote est indéfendable,victim_support,none,no,none,no
149,09:35:01 AM,Diana, elle a bien du avaler celle la,bully_support,victim,no,aggression-other,no
150,09:35:02 AM,hebert, et toi en faisant ça t’a aucun respect non plus camille,conciliator,none,no,none,no
151,09:35:13 AM,SilviaVictime, Oui merci Soan !! Adrien en plus tu t'enfonce avec t'es sous entendu raciste !,victim,none,no,none,no
152,09:35:18 AM,Soan, Grave,victim_support,none,no,none,no
153,09:35:20 AM,hebert, oh Diana t’a trop faim dégage de la,conciliator,bully_support,no,aggression-other,no
154,09:35:24 AM,Soan, Bande de racistes,victim_support,none,no,none,no
155,09:35:33 AM,SilviaVictime, Tous le monde as de la famille étrangères,victim,none,no,none,no
156,09:35:34 AM,Diana, hebert je vais te faire,bully_support,conciliator,no,aggression-other,no
157,09:35:34 AM,camille, elle l'autre serbe elle a ouvert les jalbrs jambes,bully_support,victim,yes,aggression-other,no
158,09:35:37 AM,Soan, Vous savez que les propos racistes c'est conda,victim_support,none,no,none,no
159,09:35:39 AM,Adrien94, jsuis pas rasciste jdis la verite,bully,none,no,none,no
160,09:35:40 AM,SilviaVictime, et ca ne définie pas ton comportement,victim,none,no,none,no
161,09:35:42 AM,Soan, condamnable?,victim_support,none,no,none,no
162,09:35:44 AM,hebert, Diana tu vas rien faire,conciliator,none,no,none,no
163,09:36:03 AM,Diana, retourne au Kosovo et vient pas faire chier,bully_support,victim,yes,aggression-other,no
164,09:36:14 AM,hebert, mais wshhhhhhhh,conciliator,none,no,none,no
165,09:36:45 AM,SilviaVictime, Les Serbe ne sons pas des voleurs c'est des cliché de Fachiste comme toi ça,victim,none,no,none,no
