,,,role,target,hate_speech,verbal_abuse,humor
FatimaVictime,11:09:11 AM, nicolas j'ai pris des screens fais gaffe à toi,victim,bully_support,no,threat,no
Nicolas90,11:09:11 AM, j'attends ta reponse,bully_support,none,no,none,no
paulineee,11:09:12 AM, valeur de notre pays,bully,none,no,none,no
Nicolas90,11:09:16 AM, ah non,bully_support,none,no,none,no
pierre63,11:09:18 AM, venez on va la taper sur MSN,bully_support,victim,no,aggression-other,no
Nicolas90,11:09:24 AM, t'as elle a screen,bully_support,none,no,none,no
paulineee,11:09:30 AM, en mode on a peur bahaha gros lol,bully,none,no,none,yes
Nicolas90,11:09:52 AM, Sur le Coran je suis plus fort que messi,bully_support,none,no,none,no
paulineee,11:10:00 AM, genie,bully,none,no,none,no
Nicolas90,11:10:00 AM, allez ciao,bully_support,none,no,none,no
FatimaVictime,11:10:04 AM, ouais ce que vous faites ça peut vous emmener en prison ;),victim,none,no,none,no
julie,11:10:14 AM, vasi allez vous tuer elle a rien fait,victim_support,bully/bully_support,no,aggression-other,no
Nicolas90,11:10:20 AM, tkt pas suffit de connaitre les juges on passe sous le bureau et c'est carré,bully_support,none,no,none,no
theo70,11:10:40 AM, ptdddrr mais,conciliator,none,no,none,yes
julie,11:10:40 AM, allez sous un pont les gens jaloux,victim_support,bully/bully_support,no,aggression-other,no
FatimaVictime,11:10:40 AM, tu vois c'est toi la pute maintenant nicolas,victim,bully_support,no,name_calling,no
paulineee,11:10:44 AM, ta photo elle va faire un voyage,bully,none,no,none,no
Nicolas90,11:10:48 AM, fatou t'es pas francaise,bully_support,victim,yes,denigration,no
paulineee,11:10:54 AM, comme toi a ton pays,bully,none,no,none,no
Nicolas90,11:10:57 AM, t'as les nerfs,bully_support,none,no,none,no
FatimaVictime,11:11:15 AM, vous me fatiguez laissez moi vivre ma vie,victim,none,no,none,no
julie,11:11:15 AM, vous etes des rageux,victim_support,none,no,none,no
julie,11:11:25 AM, laisser la,victim_support,none,no,none,no
paulineee,11:11:26 AM, vie loin alors,bully,victim,no,blaming,no
julie,11:11:27 AM, merde,victim_support,none,no,none,no
theo70,11:11:29 AM,  meuf calcule pas c'est bon,conciliator,none,no,none,no
paulineee,11:11:33 AM, c toi qui fatigue meuf,bully,victim,no,aggression-other,no
Teresa,11:11:50 AM, tg,victim_support,bully,no,aggression-other,no
theo70,11:11:51 AM, pauline ça y est arrete vdm,conciliator,none,no,none,no
paulineee,11:12:00 AM, tu es ??,bully,none,no,none,no
FatimaVictime,11:12:05 AM, si t'avais pas envoyé ma photo on en serait pas là pauline,victim,none,no,none,no
julie,11:12:08 AM,  masi vous etes qui fermer la,victim_support,bully/bully_support,no,aggression-other,no
theo70,11:12:12 AM, mddrr vas-y arrête,conciliator,none,no,none,yes
