ID,TIME,NAME,TEXT,ROLE,TARGET,HATE_SPEECH,VERBAL_ABUSE,HUMOR
0,11:00:05 AM,JulieVictime, Franchement ça se fait pas ce que vous avez fait !,victim,none,no,none,no
1,11:01:44 AM,Emilie, nikez vos darons bande de pd,bully,none,no,aggression-other,no
2,11:00:05 AM,JulieVictime, Franchement ça se fait pas ce que vous avez fait !,victim,none,no,none,no
3,11:02:24 AM,Emilie, retourne sucer des bite,bully,victim,no,aggression-other,no
4,11:02:36 AM,Marie36, Cherrrr,victim_support,none,no,none,no
5,11:02:51 AM,Anna35, allez suce em,bully_support,victim,no,aggression-other,no
6,11:02:58 AM,JulieVictime, rien à voir Emilie tu es vraiment pas intelligente,victim,bully,no,denigration,no
7,11:03:21 AM,Anna35, suck ur mum,bully_support,victim,no,aggression-other,no
8,11:03:35 AM,Marie36, Et ça gaz,victim_support,none,no,none,no
9,11:03:37 AM,JulieVictime, Snapchat c'est fait pour délirer pas pour harceler,victim,none,no,none,no
10,11:03:41 AM,Arthur, t'inquète pas il sont salé,conciliator,none,no,none,no
11,11:04:04 AM,elodie65, mettez vous aux hommes c'est mieux,bully_support,victim,yes,denigration,no
12,11:04:12 AM,JulieVictime, Avec Léa on comprend vraiment pas votre démarche,victim,none,no,none,no
13,11:04:31 AM,Marie36, J’ai la démarche d’umtiti pour ça,victim_support,none,no,none,no
14,11:04:33 AM,Emilie, elodie et anna vous etes vraiment gay a faire des baille dans la salle de classe quand ya personne,bully,none,no,none,no
15,11:04:53 AM,Marie36, Oue vous fêtes le ciseaux,victim_support,none,no,none,no
16,11:05:30 AM,JulieVictime, C'est pas parce que vous êtes en avance sur votre age que tout le monde doit faire des trucs avec les zizi des garçon,victim,none,no,none,no
17,11:05:34 AM,Arthur, vous devrait être plus ouvert a ce que les autre fond,conciliator,none,no,none,no
18,11:05:36 AM,JulieVictime, chaque chose en son temps et vous êtes juste jalouse parce que vous avez pas de relation amicale aussi cool que la notre,victim,none,no,none,no
19,11:06:06 AM,elodie65, elles ont cas pas s'afficher devant tout le monde c'est deguelasse,bully_support,victim,yes,denigration,no
20,11:06:15 AM,Emilie, askip Anna elle fait des baille avec son pere,bully,victim,no,denigration,no
21,11:06:19 AM,Marie36, Sa se fait pas Je suce son père donc stop,victim_support,none,no,none,no
22,11:06:40 AM,Arthur, Emilie just parce que t'a jamais des queue tu doit pas être jalouse,conciliator,bully,no,denigration,no
23,11:07:08 AM,JulieVictime, et puis Marie tu n'as jamais de vue sur tes snap c'est la première fois que tout le monde share ton truc,victim,none,no,none,no
24,11:07:21 AM,Marie36, Et alors elle fait ce qu’elle veut,victim_support,none,no,none,no
25,11:07:28 AM,JulieVictime, tout ça pour devenir populaire,victim,none,no,none,no
26,11:07:38 AM,Arthur, Juile et Léa sa serve a rien de les écoutés il sont trop con,conciliator,victim,no,denigration,no
27,11:07:51 AM,Marie36, Si le savoir est une arme et bas bz ta mère,victim_support,bully,no,aggression-other,no
28,11:07:53 AM,Emilie, qui veut les nudes de Elodie,bully,none,no,none,no
29,11:08:03 AM,JulieVictime, mais arretez ! c'est pas comme ça qu'on se fait des followers on peux aussi être vertueux,victim,none,no,none,no
30,11:08:49 AM,Marie36, C’est pas comme ça qu’on imagine la vie,victim_support,none,no,none,no
31,11:08:52 AM,JulieVictime, pas dans la haine tout le temps,victim,none,no,none,no
32,11:09:07 AM,Marie36, Va baiser ta mère sale fils de pute,victim_support,bully,no,aggression-other,no
33,11:09:11 AM,Anna35, on leur commence un only fans,bully_support,none,no,none,no
34,11:09:17 AM,JulieVictime, c'est pas comme ça qu'on se fait des vraiment amis,victim,none,no,none,no
35,11:09:23 AM,elodie65, mdrrrr adam et eve vous connaissez ?,bully_support,none,no,none,yes
36,11:09:31 AM,JulieVictime, c'est quoi only fan ?,victim,none,no,none,no
37,11:09:33 AM,Emilie, la daronne a anna je lui fait un boulot,bully,none,no,none,no
38,11:10:07 AM,JulieVictime, Quel rapport avec la maman de Anna,victim,none,no,none,no
39,11:10:29 AM,elodie65, pas mal l'education en mode ciseaux,bully_support,none,yes,denigration,yes
