,Unnamed: 0,Unnamed: 1,Unnamed: 2,role,target,hate_speech,verbal_abuse,humor
0,[2:29:52 PM], <Ellian-Harceleur>, ooooow gros FDB je vais te niker tout tes mort wallah grosse suceuse de bite que tu suce . je te revoi a la lib je te descent avec un gros calibre sa mere ,bully,victim,no,threat,no
1,[2:32:10 PM], <Arthur-Soutien-Harceleur>, sale trdc perdu,bully_support,victim,no,name_calling,no
2,[2:32:19 PM], <Nicola-Soutien-Harceleur>, vazi je viens avec toi on va le défoncer  ,bully_support,none,no,threat,no
3,[2:32:20 PM], <Ellian-Harceleur>, repond fatiquer grosse tapette quer tes je te souleve grosse kehba ,bully,victim,yes,name_calling,no
4,[2:33:22 PM], <Arthur-Soutien-Harceleur>, vazy on va lui faire sucer des grosses bites vu quil aime  faire sa,bully_support,victim,yes,threat,no
5,[2:33:29 PM], <Ellian-Harceleur>, comme ta daronne la tchwin zebi tu me degoute gros crasseux que t va bouffer tes grosse bite ,bully,victim,yes,denigration,no
6,[2:37:22 PM], <Paul-Victime>," vous êtes degueu,  tout le monde a le droit de faire  sa life",victim,none,no,none,no
7,[2:37:36 PM], <Arthur-Soutien-Harceleur>, tg toi,bully_support,victim,no,aggression-other,no
8,[2:37:53 PM], <Paul-Victime>, ftg toi même,victim,bully_support,no,aggression-other,no
9,[2:37:56 PM], <Nicola-Soutien-Harceleur>, franchement tu devrais aller voire un médecin ,bully_support,victim,yes,denigration,no
10,[2:38:00 PM], <Ellian-Harceleur>, wallah tg keske tu ouvre ta bouche de suceuse,bully,victim,no,aggression-other,no
11,[2:38:17 PM], <Paul-Victime>," et toi le psy,  pas supporter les autres c'est un problème dans ta tête",victim,none,no,none,no
12,[2:38:33 PM], <Nicola-Soutien-Harceleur>, c pas normale ton truc fdp ,bully_support,victim,yes,name_calling,no
13,[2:38:37 PM], <Paul-Victime>, et toi ta grande g,victim,bully_support,no,aggression-other,no
14,[2:38:45 PM], <Arthur-Soutien-Harceleur>, vasy tg jvai te faire manger le sol,bully_support,victim,no,threat,no
15,[2:38:59 PM], <Paul-Victime>, c quoi normal  tringler toutes les meufs ?,victim,none,no,none,no
16,[2:39:07 PM], <Nicola-Soutien-Harceleur>, vasi vvien a la lib on va voire ,bully_support,none,no,threat,no
17,[2:39:15 PM], <Ellian-Harceleur>, va la ba vien on ce mange un tete,bully,none,no,threat,no
18,[2:39:24 PM], <Paul-Victime>, tg  gros  ouf,victim,bully,no,aggression-other,no
19,[2:39:29 PM], <Ellian-Harceleur>, wallah vien la lib grosse tapette,bully,victim,yes,name_calling,no
20,[2:39:37 PM], <Paul-Victime>, et petit con,victim,bully,yes,name_calling,no
21,[2:39:49 PM], <Nicola-Soutien-Harceleur>, on lui faire sucer des bite,bully_support,none,no,threat,no
22,[2:39:57 PM], <Ellian-Harceleur>, gros ouf il ma dit et va niker tes mort aussi,bully,victim,no,aggression-other,no
23,[2:40:12 PM], <Nicola-Soutien-Harceleur>, c un ouf lui on va le def,bully_support,victim,no,threat,no
24,[2:40:26 PM], <Paul-Victime>, wallah et toi t frustré,victim,none,no,none,no
25,[2:40:26 PM], <Arthur-Soutien-Harceleur>, la con de tes motrs,bully_support,victim,no,aggression-other,no
26,[2:40:51 PM], <Paul-Victime>," j'ai le droit ""être ce que je suis  je  ne te demande rien",victim,none,no,none,no
27,[2:40:55 PM], <Ellian-Harceleur>, ké fustré et retourne chez tra grande tante la grosse pute ,bully,victim,no,aggression-other,no
28,[2:41:09 PM], <Paul-Victime>, et ta mère !,victim,bully,no,aggression-other,no
29,[2:41:35 PM], <Ellian-Harceleur>, parle bien de la daronne gros fdp,bully,victim,no,name_calling,no
30,[2:42:07 PM], <Paul-Victime>, t'as qu'à pas traiter  ma  tante,victim,none,no,none,no
31,[2:42:58 PM], <Arthur-Soutien-Harceleur>, TRD PERDU WLH ATT QUE JTE VOIE,bully_support,none,no,threat,no
32,[2:43:09 PM], <Ellian-Harceleur>, et wallah ta 10 ans zebiiii,bully,none,no,denigration,no
33,[2:43:17 PM], <Nicola-Soutien-Harceleur>, on va lui enfoncer une bite dans le cut ,bully_support,none,no,threat,no
34,[2:43:19 PM], <Arthur-Soutien-Harceleur>, JVAI GAZER TOUTES TA DESCENDENCE,bully_support,victim,no,threat,no
35,[2:43:24 PM], <Ellian-Harceleur>, on va te prendre en moulant ,bully,none,no,threat,no
36,[2:43:24 PM], <Paul-Victime>, eh que moi aussi j'te vois et ferme ta bouche,victim,bully,no,threat,no
37,[2:43:50 PM], <Arthur-Soutien-Harceleur>, tu va faire quoi avec ton pti corp t solo ta pas dami,bully_support,victim,no,denigration,no
38,[2:44:04 PM], <Nicola-Soutien-Harceleur>, on devrais l'emener dans un hopital c mieux ,bully_support,none,yes,denigration,no
39,[2:44:12 PM], <Paul-Victime>," vous etes nuls ! chacun doit avoir le droit de faire ce qui lui plait  j""vous demande rien",victim,none,no,none,no
40,[2:44:21 PM], <Nicola-Soutien-Harceleur>, come sa personne et contaminer ptdr,bully_support,none,yes,denigration,yes
41,[2:44:25 PM], <Ellian-Harceleur>, va bouffer tes mort ké tu parle avec moi,bully,victim,no,aggression-other,no
42,[2:44:27 PM], <Jimmy-Conciliateur>,  stooop,conciliator,none,no,none,no
43,[2:44:36 PM], <Ellian-Harceleur>, vien sucer grosse pute,bully,victim,yes,aggression-other,no
44,[2:44:48 PM], <Paul-Victime>," c pas une maladie,  c vous les oufs  le monde est plein  de gens  diffferents   faut se respecter",victim,none,no,none,no
45,[2:44:55 PM], <Ellian-Harceleur>, et toi aussi pk tu parle Jimmy wallah,bully,none,no,none,no
46,[2:45:12 PM], <Nicola-Soutien-Harceleur>, jimmy c sont mec c sur ,bully_support,none,no,none,no
47,[2:45:19 PM], <Arthur-Soutien-Harceleur>, casse toi jimmy stv pas finir comme lautre fatfat,bully_support,conciliator,no,denigration,no
48,[2:45:20 PM], <Jimmy-Conciliateur>, c'est pas bien Ellian stop halala,conciliator,none,no,none,no
49,[2:45:22 PM], <Nicola-Soutien-Harceleur>, il se suce la bite entre eux ,bully_support,none,no,none,no
50,[2:45:23 PM], <Paul-Victime>, wallah toi le babtou  pourquoi tu parles comme les autres ?,victim,none,yes,denigration,no
51,[2:45:28 PM], <Ellian-Harceleur>, wallah me degoute gros trdc ,bully,victim,no,aggression-other,no
52,[2:45:57 PM], <Paul-Victime>," vous etes de gros malades qui ne supportent pas les autres  c""est trop important de se respecter",victim,none,no,none,no
53,[2:46:05 PM], <Ellian-Harceleur>, et quoi quand vous baisser ensemble tu demande a ta daronne de t'aider et ftg tu connais r a la vie ,bully,victim,no,aggression-other,no
54,[2:46:21 PM], <Paul-Victime>, je ne  vous dis pas ce que vous devez faire alors laissez moi  tranquille,victim,none,no,none,no
55,[2:46:28 PM], <Arthur-Soutien-Harceleur>, on les merdes comme vous ya pas a vous respecter,bully_support,victim,no,denigration,no
56,[2:46:33 PM], <Paul-Victime>, parce que toi tu connais ?§,victim,none,no,none,no
