ID,TIME,NAME,TEXT,ROLE,TARGET,HATE_SPEECH,VERBAL_ABUSE,HUMOR
0,11:05:23 AM,Ellian, rentre chez toi malade,bully,none,no,aggression-other,no
1,11:06:10 AM,Ellian, tu vas contaminer tout le monde paul !!!!!!!,bully,victim,yes,aggression-other,no
2,11:06:37 AM,Paul, Comment ça ?? ,victim,none,no,none,no
3,11:07:05 AM,nicola, tu cherche la merde,bully_support,victim,no,blaming,no
4,11:07:11 AM,Ellian, t'aimes les homme tu dégoute! vas te faire soigner,bully,victim,yes,denigration,no
5,11:07:20 AM,Lisa23, oh clamez vous la calmez,victim_support,none,no,none,no
6,11:07:34 AM,Ellian, parle francais betasse,bully,victim_support,no,denigration,no
7,11:07:41 AM,jimmy, SALUT,conciliator,none,no,none,no
8,11:07:44 AM,Paul, de quoi tu parles ? ,victim,none,no,none,no
9,11:07:58 AM,jimmy, nique les arabes,conciliator,none,yes,aggression-other,no
10,11:08:35 AM,Ellian, frère t'es gay et tu me parles,bully,victim,yes,aggression-other,no
11,11:08:35 AM,Paul, ça n'a aucun lien avec ce dont on a parlé n'est-ce pas ? ...,victim,none,no,none,no
12,11:08:47 AM,Lisa23, faut pas insulter les gens comme ca,victim_support,none,no,none,no
13,11:08:47 AM,Ellian, dégage de la pd,bully,victim,yes,aggression-other,no
14,11:08:58 AM,Camille, t'as que de la bouche toi,victim_support,none,no,none,no
15,11:08:59 AM,Arthur60, ca dégage,bully_support,none,no,none,no
16,11:09:12 AM,Paul, Je te faisais confiance ...,victim,none,no,none,no
17,11:09:12 AM,Ellian, Camille parle francais,bully,victim_support,no,denigration,no
18,11:09:15 AM,Camille, sinon quoi,victim_support,none,no,none,no
19,11:09:18 AM,jimmy, gros chien de la casse nique ton pere la salop qui fait le tapin sur les trotoire,conciliator,none,no,aggression-other,no
20,11:09:33 AM,Lisa23, mais t'a pas d'arguments toi,victim_support,none,no,none,no
21,11:10:02 AM,Ellian, pédale,bully,victim,yes,name_calling,no
22,11:10:05 AM,jimmy, Paul t'aime les chibre bien véneux tah les chibrax,conciliator,none,no,none,no
23,11:10:28 AM,jimmy, sale gay,conciliator,victim,yes,name_calling,no
24,11:10:36 AM,Paul, Ellian et puis d’abord d'où tu penses que c'est quelque chose dont je dois me soigner ???,victim,none,no,none,no
25,11:10:36 AM,nicola, bien joué jimmy,bully_support,none,no,none,no
