ID,TIME,NAME,TEXT,ROLE,TARGET,HATE_SPEECH,VERBAL_ABUSE,HUMOR
0,[2:28:36 PM], <David-Harceleur>, alors la con de ta mère,bully,victim,no,name_calling,no
1,[2:28:45 PM], <Jim-Soutien-Harceleur>, OUE GROSPORC,bully_support,victim,no,name_calling,no
2,[2:29:05 PM], <Jules-Conciliateur>, vous etes mechant,conciliator,none,no,none,no
3,[2:29:05 PM], <Jim-Soutien-Harceleur>, il est ou le mamouth,bully_support,victim,no,name_calling,no
4,[2:29:10 PM], <Amine-Soutien-Harceleur>, IL EST OU LE GROS LARD,bully_support,victim,no,name_calling,no
5,[2:29:25 PM], <David-Harceleur>, espece de boule je te pousse tu roule,bully,victim,no,denigration,no
6,[2:29:38 PM], <Jules-Conciliateur>, arretez c'est pas cool,conciliator,none,no,none,no
7,[2:29:43 PM], <Jim-Soutien-Harceleur>, et oh baleine bleu,bully_support,victim,no,name_calling,no
8,[2:29:45 PM], <Amine-Soutien-Harceleur>, ALLEZ MANIFESTE TOI GROS PORCS,bully_support,victim,no,name_calling,no
9,[2:31:11 PM], <Jim-Soutien-Harceleur>, y prl pas se chien,bully_support,none,no,name_calling,no
10,[2:31:16 PM], <Amine-Soutien-Harceleur>, brice le cachalot,bully_support,victim,no,name_calling,no
11,[2:31:22 PM], <David-Harceleur>, vas courir gros phoque retourne dans l'eau,bully,victim,no,denigration,no
12,[2:31:33 PM], <Jules-Conciliateur>, sa pourrais etre vous avec les kilos en trop,conciliator,none,no,none,no
13,[2:31:41 PM], <Amine-Soutien-Harceleur>, ta mere la reine des putes,bully_support,victim,no,aggression-other,no
14,[2:31:46 PM], <Jules-Conciliateur>, david c pas bien wesh,conciliator,none,no,none,no
15,[2:32:16 PM], <Jim-Soutien-Harceleur>, merci au  client fidele,bully_support,none,no,none,no
16,[2:32:32 PM], <David-Harceleur>, aller les gros,bully,victim/victim_support,no,denigration,no
17,[2:32:36 PM], <Jim-Soutien-Harceleur>, alllez les gros,bully_support,victim/victim_support,no,denigration,no
18,[2:32:54 PM], <Amine-Soutien-Harceleur>, ton  corps il contient 90% de tartiflette sale chien,bully_support,victim,no,denigration,no
19,[2:32:57 PM], <Jules-Conciliateur>,  arrêter de vous faire  brice,conciliator,none,no,none,no
20,[2:33:23 PM], <Brice-Victime>, ça va ça va c'est quoi l'probleme,victim,none,no,none,no
21,[2:33:38 PM], <Amine-Soutien-Harceleur>, jules toi aussi tu pue la merde,bully_support,conciliator,no,denigration,no
22,[2:33:41 PM], <Jules-Conciliateur>, les ecoute pas,conciliator,none,no,none,no
23,[2:33:59 PM], <David-Harceleur>," brice ecoute moi,  cours",bully,none,no,none,no
24,[2:34:01 PM], <Jim-Soutien-Harceleur>," oh commence pas fatigue,  cours",bully_support,none,no,none,no
25,[2:34:09 PM], <Jules-Conciliateur>, c des méchant même si David c mon copain,conciliator,none,no,none,no
26,[2:34:19 PM], <Amine-Soutien-Harceleur>, brique de lait va baiser tes morts,bully_support,victim,no,aggression-other,no
27,[2:34:25 PM], <Brice-Victime>, « cours » et pourquoi ça?,victim,none,no,none,no
28,[2:34:32 PM], <David-Harceleur>, tg,bully,victim,no,aggression-other,no
29,[2:34:35 PM], <Jim-Soutien-Harceleur>, tg,bully_support,victim,no,aggression-other,no
