ID,TIME,NAME,TEXT,ROLE,TARGET,HATE_SPEECH,VERBAL_ABUSE,HUMOR
0,09:12:58 AM,Yanis, Oui,victim_support,none,no,none,no
1,09:13:07 AM,David41, sale arabe,bully,none,yes,name_calling,no
2,09:13:22 AM,Yanis, bande d'islamo gaucho,victim_support,none,no,none,no
3,09:13:35 AM,David41, je te faire courire moi,bully,victim,no,aggression-other,no
4,09:13:46 AM,Yanis, moi je te fait exploser,victim_support,bully,no,aggression-other,no
5,09:13:49 AM,David41, tu va marcher sur l'eau,bully,none,no,none,no
6,09:13:57 AM,Yanis, comme jesus,victim_support,none,no,none,no
7,09:14:08 AM,David41, non pd de gros biko,bully,victim,yes,name_calling,no
8,09:14:20 AM,Yanis, ta grand mere c'est laurela,victim_support,bully,no,aggression-other,no
9,09:14:36 AM,Jules87, ohh non pas ca,conciliator,none,no,none,no
10,09:14:41 AM,Yanis, sah,victim_support,none,no,none,no
11,09:15:07 AM,David41, ta mere la pute a manger des chips,bully,victim,no,aggression-other,no
12,09:15:08 AM,Jules87, la violence ne fais pas les choses dans la vie,conciliator,none,no,none,no
13,09:15:17 AM,Moussa, Exactement,victim_support,none,no,none,no
14,09:15:31 AM,Moussa, Supprime cette photo David avant que je te moullone,victim_support,bully,no,threat,no
15,09:15:36 AM,David41, Moussa ta ton pasport?,bully,victim_support,yes,aggression-other,no
16,09:15:39 AM,Yanis, il a des grosses cuisses Moussa,victim_support,victim_support,no,denigration,no
17,09:15:46 AM,Moussa, 🤫,victim_support,none,no,none,no
18,09:16:00 AM,Jules87, hamdoulla les cuisses faut pas c'est pas bien,conciliator,none,no,none,no
19,09:16:23 AM,David41, Moussa bz ta mere la voiler,bully,victim_support,no,aggression-other,no
20,09:16:24 AM,amine16, ohhhh Moussa,bully_support,none,no,none,no
21,09:16:39 AM,Yanis, shallah zemmour il meurt brulé vif,victim_support,none,no,aggression-other,no
22,09:16:51 AM,Jules87, ce n'est pas de ca faute d'avoir des grosses cuisses,conciliator,none,no,none,no
23,09:17:04 AM,Moussa, Au David fais pas le fou Jvais enculer bien sagement toi et ta pute de famille donc mtn tu supprime avant que jte soulève devant t p’tits camarades,victim_support,bully,no,aggression-other,no
24,09:17:07 AM,Yanis, jvais briser ses os et boire son sang,victim_support,bully,no,aggression-other,no
25,09:17:08 AM,David41, David test plus lourd que le bus,bully,victim,no,denigration,no
26,09:17:26 AM,Jules87, Moussa calmos,conciliator,none,no,none,no
27,09:17:28 AM,Brice, C'est quoi cette photo qui circule ?!,victim,none,no,none,no
28,09:17:35 AM,David41, ta mange comme j'aime ?,bully,victim,no,denigration,no
29,09:17:37 AM,Yanis, c'est ta mere,victim_support,bully,no,aggression-other,no
30,09:17:45 AM,Brice, wtf,victim,none,no,none,no
31,09:17:47 AM,Jules87, Brice tu fais du surf?,conciliator,none,no,none,no
32,09:17:52 AM,Moussa, Mais supprime ça,victim_support,none,no,none,no
33,09:17:59 AM,amine16, jim baiz tes mortd,bully_support,victim_support,no,aggression-other,no
34,09:17:59 AM,Moussa, Brice dit qlq chose,victim_support,none,no,none,no
35,09:18:06 AM,Jim85, amine retourne dans ton pays,bully_support,bully_support,yes,aggression-other,no
36,09:18:10 AM,David41, Moussa sale arabe,bully,victim_support,yes,aggression-other,no
37,09:18:23 AM,Moussa, Et toi fils de pute,victim_support,bully_support,no,name_calling,no
38,09:18:24 AM,Jules87, hagra,conciliator,none,no,none,no
39,09:18:26 AM,Moussa, T mort,victim_support,bully_support,no,threat,no
40,09:18:30 AM,David41, enculer de merde j'espere que zemmour passe,bully,victim_support,no,aggression-other,no
41,09:18:32 AM,Moussa, Jtattend a la sortie,victim_support,bully_support,no,threat,no
42,09:18:40 AM,Yanis, Zemoour ce gros pd,victim_support,none,no,aggression-other,no
43,09:18:42 AM,amine16, je vais te niquer fils de pute nique zemmour,bully_support,victim_support,no,aggression-other,no
44,09:18:49 AM,Moussa, gros fils de pute vive Hollande,victim_support,bully,no,aggression-other,no
45,09:18:54 AM,Brice, Mais c'est qui qui s'amuse à me faire ça ?? c'est toi David41 ?,victim,none,no,none,no
46,09:18:56 AM,David41, moi aussi avec deux billet d'avions,bully,none,no,none,no
47,09:19:00 AM,amine16, macron macron,bully_support,none,no,none,no
48,09:19:26 AM,David41, retour aux pays,bully,none,no,none,no
49,09:19:30 AM,Moussa, Oui c’est David,victim_support,none,no,none,no
50,09:19:31 AM,amine16, tg,bully_support,victim,no,aggression-other,no
51,09:19:49 AM,David41, ho ca sens le kouskous,bully,victim_support,yes,aggression-other,no
52,09:19:51 AM,Jules87, ohh bande d'arabe la,conciliator,victim_support,yes,name_calling,no
53,09:19:54 AM,Brice, David41 mais pourquoi ?!,victim,none,no,none,no
54,09:19:55 AM,David41, pd de biko,bully,victim_support,yes,name_calling,no
55,09:19:56 AM,Jules87, vvs calmer la,conciliator,none,no,none,no
56,09:20:10 AM,amine16, on est des bougnoules et alors,bully_support,none,no,none,no
57,09:20:13 AM,David41, tonton me manque,bully,none,no,none,no
58,09:20:14 AM,Yanis, david ca se voit t'es complexé,victim_support,none,no,none,no
59,09:20:17 AM,Brice, tu te rends pas compte de ce que tu fais ... ,victim,none,no,none,no
60,09:20:19 AM,Yanis, ton pere c miterand,victim_support,victim,no,aggression-other,no
61,09:20:22 AM,David41, 39-45  2 eme mi temps pour les biko,bully,none,no,name_calling,no
62,09:20:43 AM,Moussa, C’est pas cool frère,victim_support,none,no,none,no
63,09:20:44 AM,Yanis, et ta mere c tobira,victim_support,victim,no,aggression-other,no
64,09:20:51 AM,David41, bz ta mere sale arabe,bully,victim_support,yes,aggression-other,no
65,09:20:56 AM,Moussa, Jvzis te brizzer les couille David tu vas voir,victim_support,bully,no,aggression-other,no
66,09:21:12 AM,David41, c'est ta mere la sale noir de tabira,bully,victim_support,yes,aggression-other,no
67,09:21:33 AM,Brice," Je ne vois pas le rapport entre Zemmour, Mitterand, ... et la photo (de moi sous la douche) qui circule …",victim,none,no,none,no
68,09:21:46 AM,Yanis, t'as de la chance c le ramadan sinon je t'aurait enculé toi et tt tes morts de fils de pute,victim_support,bully,no,aggression-other,no
69,09:22:05 AM,David41, Brice ta le droit a la parole ?,bully,none,no,none,no
70,09:22:06 AM,Jules87, ohh les rebeu les insultes c'est interdit jusqu'a 20.06 wlh,conciliator,none,no,none,no
71,09:22:07 AM,Moussa, Au sale blanc d’extrémiste tu vas fermer ta grosse geule et tu vas supprimer la photo parce que gris jvzis enculé bêtement y’a mère,victim_support,bully,no,aggression-other,no
72,09:22:28 AM,Yanis, voila DIS LEUR MoussaAAAA,victim_support,none,no,none,no
73,09:22:36 AM,Jules87, uhm regarde ce que je vois c'est Moussa au grosse cuisses,conciliator,victim_support,no,denigration,no
74,09:22:45 AM,David41, Moussa tg parce que tu vit grasse a mes impot,bully,victim_support,no,aggression-other,no
