,Unnamed: 0,Unnamed: 1,text,role,target,hate_speech,verbal_abuse,humor
0,[2019-06-13 15:53:17], <_Francoisvictim>, Salut les cop1 :D,victim,none,no,none,no
1,[2019-06-13 15:53:35], <Jenny_concil>, COUCOU,conciliator,none,no,none,no
2,[2019-06-13 15:54:27], <_Francoisvictim>, ct vachement cool ce voyage,victim,none,no,none,no
3,[2019-06-13 15:55:59], <Theo_SoutienH>, ouais franchement c'était cool ,bully_support,none,no,none,no
4,[2019-06-13 15:56:08], <Jenny_concil>, oui trop bien la baignade il faisait grand soleil,conciliator,none,no,none,no
5,[2019-06-13 15:56:20], <Theo_SoutienH>, pas vrais Pauline ,bully_support,none,no,none,no
6,[2019-06-13 15:56:23], <Theresa_SoutienH>, oui super le temps,bully_support,none,no,none,no
7,[2019-06-13 15:56:31], <pierre_defenseur>, ouai c'etait trop bien 😆,victim_support,none,no,none,no
8,[2019-06-13 15:56:49], <Theresa_SoutienH>, 😉,bully_support,none,no,none,no
9,[2019-06-13 15:57:04], <_Francoisvictim>, merci d'avoir posté les photos de moi,victim,none,no,none,no
10,[2019-06-13 15:57:17], <pierre_defenseur>, ...,victim_support,none,no,none,no
11,[2019-06-13 15:57:44], <Pauline_Harceleu>, mdrr tg francois bien fait pour ta gueule,bully,victim,yes,name_calling,yes
12,[2019-06-13 15:57:54], <_Francoisvictim>, Mais pauline??,victim,none,no,none,no
13,[2019-06-13 15:58:03], <pierre_defenseur>, ca ce fait pas d'avoir fait ca 🙄,victim_support,none,no,none,no
14,[2019-06-13 15:58:11], <Theo_SoutienH>, 🤣,bully_support,none,no,none,no
15,[2019-06-13 15:58:16], <pierre_defenseur>, mais calme toi pauline ,victim_support,none,no,none,no
16,[2019-06-13 15:58:25], <Lucas_soutiendel>, Vous etes trop mechants arretez ,victim_support,bully/bully_support,no,none,no
17,[2019-06-13 15:58:29], <Theresa_SoutienH>, Cette photo est trop drole ,bully_support,none,no,none,no
18,[2019-06-13 15:58:29], <Theo_SoutienH>, c'est une blague ,bully_support,none,no,none,no
19,[2019-06-13 15:58:39], <Theo_SoutienH>, franchement trop drole ,bully_support,none,no,none,no
20,[2019-06-13 15:58:49], <Jenny_concil>, pardon ? attendez  François est bg c'est juste que Pauline t'as pas mis la bonne photo dpnc bon,conciliator,none,no,none,no
21,[2019-06-13 15:58:53], <_Francoisvictim>, j'assume mon phisique tte facon. 😯,victim,none,no,none,no
22,[2019-06-13 15:58:58], <_Francoisvictim>, 😑 *,victim,none,no,none,no
23,[2019-06-13 15:59:13], <pierre_defenseur>, y'a quoi de drole  serieux ???,victim_support,none,no,none,no
24,[2019-06-13 15:59:33], <Jenny_concil>, oui t'as raison pas de complexe alors tu t'en fiches de la photo,conciliator,none,no,none,no
25,[2019-06-13 15:59:33], <Theresa_SoutienH>, Moi j'pense que pauline c pas tromper c'est juste ke francois est trop moche,bully_support,victim,no,denigration,no
26,[2019-06-13 15:59:35], <Pauline_Harceleu>, mais vous l'avez vu.. wsh c'est méchant pour les baleines la....,bully,victim,no,denigration,no
27,[2019-06-13 16:00:14], <_Francoisvictim>, Theresa :quitte a etre une baleine,victim,none,no,none,no
28,[2019-06-13 16:00:28], <Jenny_concil>, heu Pauline detend toi il t'as rien fait François t'étais juste pas obligé t'aurais dû demandé avant ,conciliator,none,no,none,no
29,[2019-06-13 16:00:38], <Lucas_soutiendel>, Vous avez cru vous étiez qui wesh,victim_support,none,no,none,no
30,[2019-06-13 16:00:40], <Theresa_SoutienH>, C'est sur elles doivent êtres vexées d'avoir un gars aussi laid avec elles,bully_support,victim,no,denigration,no
31,[2019-06-13 16:00:41], <Jenny_concil>, popopoooo,conciliator,none,no,none,no
32,[2019-06-13 16:00:56], <Jenny_concil>, non on vous aime pareil,conciliator,none,no,none,no
33,[2019-06-13 16:01:11], <Jenny_concil>," donc pas de ""véxés""",conciliator,none,no,none,no
34,[2019-06-13 16:01:11], <Theresa_SoutienH>, et francois reagrde toi d'ab,bully_support,victim,no,denigration,no
35,[2019-06-13 16:01:17], <pierre_defenseur>, mais c'est quoi votre probleme enfait ? ca vous amuse de critiquer les gens comme ca ?,victim_support,none,no,none,no
36,[2019-06-13 16:01:21], <_Francoisvictim>, jje t'emmerde.,victim,bully,no,aggression-other,no
37,[2019-06-13 16:01:36], <Jenny_concil>, heu theresa t'en a pas marre de soutenir pauline ? ,conciliator,none,no,none,no
38,[2019-06-13 16:01:43], <pierre_defenseur>, bien dit francois !,victim_support,none,no,none,no
39,[2019-06-13 16:01:48], <Theo_SoutienH>, il peut pas se voir en entier ,bully_support,victim,no,denigration,no
40,[2019-06-13 16:01:57], <Theresa_SoutienH>, mwa aussi francois😘🤣,bully_support,none,no,none,yes
41,[2019-06-13 16:02:00], <Lucas_soutiendel>, Deja apprenez à écrire et après vous pourrez peut- etre vous permettre de parler,victim_support,bully_support,no,denigration,no
42,[2019-06-13 16:02:15], <Jenny_concil>, toi t'es trop petit tu te voit pas dans le miroir,conciliator,bully_support,no,denigration,no
43,[2019-06-13 16:02:19], <_Francoisvictim>, Wsh  je vous écrase tous en un coup.,victim,bully/bully_support,no,threat,yes
44,[2019-06-13 16:02:23], <Lucas_soutiendel>, C'est horrible de dire ca ,victim_support,none,no,none,no
45,[2019-06-13 16:02:26], <pierre_defenseur>, je comprend poas comment vous piuvez défendre des gens qui disent et font des choses pareils 😤,victim_support,none,no,none,no
46,[2019-06-13 16:02:43], <Lucas_soutiendel>, J'avoue,victim_support,none,no,none,no
47,[2019-06-13 16:02:44], <Theresa_SoutienH>, c'est quoi cette punchline XD,bully_support,none,no,none,no
48,[2019-06-13 16:03:04], <Theresa_SoutienH>, tu peux pas nous atteindre avec tes 250 kg,bully_support,victim,no,denigration,no
49,[2019-06-13 16:03:05], <Theo_SoutienH>, si rire est un crime on est mal barré ,bully_support,none,no,none,no
50,[2019-06-13 16:03:06], <_Francoisvictim>, theresa,victim,none,no,none,no
51,[2019-06-13 16:03:07], <pierre_defenseur>, ca vous apporte quoi de faire ca ???,victim_support,none,no,none,no
52,[2019-06-13 16:03:07], <_Francoisvictim>, rien,victim,none,no,none,no
53,[2019-06-13 16:03:10], <Jenny_concil>, non mais c'est bon francois t'es pas comme ca  en vrai c'est la qualité photo de pauline,conciliator,none,no,none,no
54,[2019-06-13 16:03:20], <Theresa_SoutienH>, merci ca me touche,bully_support,none,no,none,no
55,[2019-06-13 16:03:46], <_Francoisvictim>, non mais pas grave il existe le clan des jaloux en somme 🙄,victim,none,no,none,no
56,[2019-06-13 16:03:52], <Lucas_soutiendel>, Vous avez pas honte?,victim_support,none,no,none,no
57,[2019-06-13 16:03:58], <Pauline_Harceleu>, nan mais francois tu nous dira ce que ca fait d'etre une petite merde comme ca hein,bully,victim,no,denigration,no
58,[2019-06-13 16:03:58], <Jenny_concil>, allez allez ne nous emportons pas maintenant Pauline efface la photo t'as juste a demander avant,conciliator,none,no,none,no
59,[2019-06-13 16:04:19], <_Francoisvictim>, toi pauline je te retiens. comment j'ai pu te kiffer en vrai?,victim,none,no,none,no
60,[2019-06-13 16:04:21], <Lucas_soutiendel>, Tu as totalement raison Francounet,victim_support,none,no,none,no
61,[2019-06-13 16:04:59], <Jenny_concil>, non mais allez pauline enlève la photo,conciliator,none,no,none,no
62,[2019-06-13 16:05:00], <Theresa_SoutienH>, mdrrrr ouais comment t'as pu la kiffer tu la mérites pas en vrai,bully_support,victim,no,denigration,yes
63,[2019-06-13 16:05:01], <Pauline_Harceleu>, haaa  c'est beau de rever jenny,bully,none,no,none,no
