ID,TIME,NAME,TEXT,ROLE,TARGET,HATE_SPEECH,VERBAL_ABUSE,HUMOR
0,[2019-06-13 16:36:56], <Fran_Victime>, Yo miiiiiiiiiiiiiiiiiiiiiiiiiiiich,victim,none,no,none,no
1,[2019-06-13 16:37:17], <Fran_Victime>, a,victim,none,no,none,no
2,[2019-06-13 16:37:21], <Fran_Victime>, fatiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,victim,none,no,none,no
3,[2019-06-13 16:42:00], <martine_harc>, Salut les cons!,bully,none,no,name_calling,no
4,[2019-06-13 16:42:21], <Fran_Victime>, C toi ki parl,victim,none,no,none,no
5,[2019-06-13 16:42:28], <Fran_Victime>, mais vazi srx,victim,none,no,none,no
6,[2019-06-13 16:42:42], <Fran_Victime>, d'où t'as été mettre mes fotos tepu va,victim,bully,no,name_calling,no
7,[2019-06-13 16:42:44], <martine_harc>, hey! tu m'parle autrement la grosse!,bully,victim,no,denigration,no
8,[2019-06-13 16:42:53], <Fran_Victime>, t kune pute,victim,bully,no,name_calling,no
9,[2019-06-13 16:42:53], <Fatima_Defenseur>, tfk jenny,victim_support,none,no,none,no
10,[2019-06-13 16:43:13], <martine_harc>, et bah quoi T pas contente? m'en fout,bully,none,no,none,no
11,[2019-06-13 16:43:26], <Fran_Victime>, pq tu postes des fotos de mwa à poil wsh,victim,none,no,none,no
12,[2019-06-13 16:43:29], <Fran_Victime>, ta pas dvi?,victim,none,no,none,no
13,[2019-06-13 16:43:50], <Fatima_Defenseur>, att c qui qui poste des photos de ki a poil,victim_support,none,no,none,no
14,[2019-06-13 16:44:11], <Fran_Victime>, c'est cette put de Martine qui a pris des fotos de moi,victim,bully,no,name_calling,no
15,[2019-06-13 16:44:14], <Fran_Victime>, pdt le voyage,victim,none,no,none,no
16,[2019-06-13 16:44:18], <Fran_Victime>, sous la douche,victim,none,no,none,no
17,[2019-06-13 16:44:23], <Fran_Victime>, et cette conne elle l'a fait tourner,victim,bully,no,name_calling,no
18,[2019-06-13 16:44:30], <Fatima_Defenseur>, pk tu fais ca meuf,victim_support,none,no,none,no
19,[2019-06-13 16:44:40], <Fatima_Defenseur>, dou elle etait dans ta douche,victim_support,none,no,none,no
20,[2019-06-13 16:44:43], <martine_harc>, hey quand y a une pute faut faire profiter!,bully,victim,no,name_calling,no
21,[2019-06-13 16:44:52], <martine_harc>, soit contente la grosse,bully,victim,no,denigration,no
22,[2019-06-13 16:45:06], <Fran_Victime>, je sais pas elle aime mon cul,victim,none,no,none,no
23,[2019-06-13 16:45:19], <jules_soutienH>, sale grosse,bully_support,victim,no,denigration,no
24,[2019-06-13 16:45:35], <martine_harc>, hey! slt Juju!,bully,none,no,none,no
25,[2019-06-13 16:45:39], <jenny_conciliatr>, martine et francoise si vous avez des problemes parlez en au lieu de vous insulter,conciliator,none,no,none,no
26,[2019-06-13 16:45:40], <Fran_Victime>, mais d'où tu parles le micropenis stp,victim,bully_support,no,denigration,no
27,[2019-06-13 16:45:56], <martine_harc>, et pour aimer ton cul faurdrait etre aveugle la grosse,bully,victim,no,denigration,no
28,[2019-06-13 16:46:01], <Fatima_Defenseur>, on se calmmmmmm,victim_support,none,no,none,no
29,[2019-06-13 16:46:12], <Fran_Victime>, pq tu me mattes sous la douche alors?,victim,none,no,none,no
30,[2019-06-13 16:46:13], <martine_harc>, hey la sirienne,bully,none,no,none,no
31,[2019-06-13 16:46:19], <martine_harc>, ferme la,bully,victim_support,no,aggression-other,no
32,[2019-06-13 16:46:20], <Fran_Victime>, ho tu te calmes ,victim,none,no,none,no
33,[2019-06-13 16:46:23], <Fran_Victime>, la pute,victim,bully,no,name_calling,no
34,[2019-06-13 16:46:39], <Fran_Victime>, Tu touches pas à ma pote ou je te mange ok?!,victim,bully,no,threat,no
35,[2019-06-13 16:46:43], <jenny_conciliatr>, parlez en pardon,conciliator,none,no,none,no
36,[2019-06-13 16:46:46], <martine_harc>, c oi la pute et tu m parle pas comme ca ,bully,victim,no,name_calling,no
37,[2019-06-13 16:46:47], <jules_soutienH>, ferme ta gueule demande a ta mere il est pas si petit,bully_support,victim,no,aggression-other,no
38,[2019-06-13 16:46:48], <Fatima_Defenseur>, t raciste ou ca se passe comment en fait martine,victim_support,none,no,none,no
39,[2019-06-13 16:46:51], <jenny_conciliatr>, on ne resoud rien comme ca,conciliator,none,no,none,no
40,[2019-06-13 16:47:19], <Fran_Victime>, ma mère elle suce pas les bébés,victim,bully_support,no,aggression-other,no
41,[2019-06-13 16:47:29], <martine_harc>, bah quoi? l'étrangère a un pb?,bully,victim_support,yes,aggression-other,no
42,[2019-06-13 16:47:31], <jules_soutienH>, ducoup elle me suce,bully_support,victim,no,aggression-other,no
43,[2019-06-13 16:47:37], <jules_soutienH>, cette folle,bully_support,victim,no,name_calling,no
44,[2019-06-13 16:47:45], <martine_harc>, T'a raison ils voudraizetn pas d'elle,bully,victim,no,denigration,no
45,[2019-06-13 16:47:47], <Fran_Victime>, parle pas sur ma mère,victim,none,no,none,no
46,[2019-06-13 16:47:50], <jules_soutienH>, GROSSE folle,bully_support,victim,no,name_calling,no
47,[2019-06-13 16:47:54], <Fran_Victime>, toi aussi je te mange,victim,none,no,none,yes
48,[2019-06-13 16:48:01], <jules_soutienH>, hahahahahahahahahahahahaha,bully_support,none,no,none,yes
49,[2019-06-13 16:48:06], <jules_soutienH>, t une comique toi,bully_support,none,no,none,yes
50,[2019-06-13 16:48:06], <martine_harc>, bah la mere d'une grosse moche doit etre grosse moche,bully,victim,no,denigration,no
51,[2019-06-13 16:48:08], <Fatima_Defenseur>, stop bande de fous ,victim_support,bully/bully_support,no,name_calling,no
52,[2019-06-13 16:48:23], <Fran_Victime>, en attendant il a l'air de kiffer ma mère Jules...,victim,none,no,none,no
53,[2019-06-13 16:48:24], <Fatima_Defenseur>, kes tu dis,victim_support,none,no,none,no
54,[2019-06-13 16:48:27], <jules_soutienH>, jmange ta mere surtout,bully_support,victim,no,aggression-other,no
55,[2019-06-13 16:48:42], <jules_soutienH>, cest elle qui me kiffe,bully_support,none,no,none,no
56,[2019-06-13 16:48:43], <martine_harc>, hey toi tut'la ferme l'étrazngère! retourne dans ton pays de merde,bully,victim_support,yes,denigration,no
57,[2019-06-13 16:48:46], <Fatima_Defenseur>, on arrete de manger tt le mponde la,victim_support,none,no,none,no
58,[2019-06-13 16:48:57], <Fran_Victime>, Martine tu fermes ta bouche,victim,bully,no,aggression-other,no
