,,,role,target,hate_speech,verbal_abuse,humor
[11:35:33], <Marjorie-Harceleur>," Salut la grosse,  j'espere que la photo t'as plu",bully,victim,no,name_calling,no
[11:36:01], <Natacha-Soutien-Harceleur>, allez vous faure foutre$,bully_support,none,no,aggression-other,no
[11:36:04], <Zoé-Victime>," Tu parles j'ai adoré mdr,  t'es jalouse d emes résultats c'est tout",victim,none,no,none,yes
[11:36:08], <Marjorie-Harceleur>, Tu devrais faire un gros régime Zoé Si tu veux je t'aide :),bully,victim,no,denigration,no
[11:36:25], <Michel-Soutien-Victime>, salut majorie la jalouse tu vas bien,victim_support,none,no,none,no
[11:36:28], <Julien-Conciliateur>, Marjorie ce n'est pas gentil de faire ca,conciliator,none,no,none,no
[11:36:29], <Natacha-Soutien-Harceleur>, ohh lala vous etes mechante,bully_support,none,no,none,yes
[11:36:31], <Zoé-Victime>, laissez-moi tranquille je vous ai rien demandé,victim,none,no,none,no
[11:36:33], <Marjorie-Harceleur>, oui moi jalouse mdr jalouse de toi en plus,bully,victim,no,denigration,yes
[11:36:47], <Lucie-Harceleur>, on vas faire du sport et evite de tous faire sortir,bully,victim,no,denigration,no
[11:36:55], <Soan-Soutien-Victime>, zoé fait pas attention à ceux quelle dit,victim_support,none,no,none,no
[11:36:58], <Marjorie-Harceleur>, fermez vos gueules un peu,bully,victim/victim_support,no,aggression-other,no
[11:36:59], <Michel-Soutien-Victime>, evidemment que tu est jalouse de zoé et moi nous somme plus fortes que toi,victim_support,none,no,none,no
[11:37:14], <Natacha-Soutien-Harceleur>, allez diminue vos grossse bite cest mieux,bully_support,none,no,aggression-other,no
[11:37:42], <Julien-Conciliateur>, vous etes pas dans sa situation vous savez pas ce qu'elle vie,conciliator,none,no,none,no
[11:37:43], <Michel-Soutien-Victime>, tu n'a pas le droit de dire ce que les autre doivent faire,victim_support,none,no,none,no
[11:37:49], <Lucie-Harceleur>, sale boufonne parle mieux,bully,victim,no,name_calling,no
[11:37:53], <Marjorie-Harceleur>, michel tg,bully,victim_support,no,aggression-other,no
[11:37:58], <Michel-Soutien-Victime>, tous a fait d'accord avec julien,victim_support,none,no,none,no
[11:38:00], <Zoé-Victime>, c'est toi qui insultes là calme-toi un peu,victim,none,no,none,no
[11:38:19], <Michel-Soutien-Victime>, ta geul toi meme majorie la *****,victim_support,bully,no,aggression-other,no
[11:38:25], <Natacha-Soutien-Harceleur>, je ne vbais pas me calme vous etes des viperes,bully_support,victim/victim_support,no,name_calling,no
[11:38:26], <Marjorie-Harceleur>, lucie on va leur montrez comment perdre du poids ca va etre marrant,bully,none,no,none,no
[11:38:43], <Lucie-Harceleur>, perdre du poid quelle ironie,bully,victim,no,denigration,yes
[11:38:46], <Natacha-Soutien-Harceleur>, haha cest pas drole du touyt,bully_support,none,no,none,yes
[11:38:52], <Michel-Soutien-Victime>, hahaha ce qui est marrant c'est de te voir nous envier,victim_support,none,no,none,no
[11:38:57], <Lucie-Harceleur>, a peine marcher elle a du mal,bully,victim,no,denigration,no
[11:39:07], <Zoé-Victime>, mais allez vous faire voir et commencer par essayer d'avoir de meilleures notes que moi et on verra après pour parler,victim,none,no,none,no
[11:39:13], <Lucie-Harceleur>, il lui faut cess deux béquilles natasha et pauline,bully,victim,no,denigration,no
[11:39:20], <Marjorie-Harceleur>, Zoé t'es qu'une merde et  tu resteras toujours une merde une grosse une boulette,bully,victim,no,denigration,no
[11:39:32], <Zoé-Victime>, et toi il te faut tes potes pour avoir de bonnes notes aux controles ????,victim,none,no,none,no
[11:39:33], <Michel-Soutien-Victime>, peut etre physiquement elle ne vous plaie pas mais moralement vous voulez tous etre comme elles,victim_support,none,no,none,no
[11:39:35], <Soan-Soutien-Victime>, ça t'apporte quoi de l'insulter tu mexplique parce que je voit juste deux bouffons parler d'une situation qui les concerne pas,victim_support,bully,no,name_calling,no
[11:39:37], <Lucie-Harceleur>, un petit porc,bully,victim,no,name_calling,no
[11:39:49], <Marjorie-Harceleur>, un petit porc mdrrr bien trouver les deux bouffones elles t'emmerdent,bully,victim_support,no,name_calling,yes
[11:40:07], <Julien-Conciliateur>, les filles soyer  gentille avec elle j'ai etait dasn sa situation est c'est vraiment pas facile,conciliator,none,no,none,no
[11:40:12], <Marjorie-Harceleur>, On parle juste de ce qu'on voit,bully,none,no,none,no
[11:40:16], <Zoé-Victime>, Les ptitrs connes on va se calmer parce qu'à part m'insulter sur mon physique vous savez rien faire,victim,bully,no,name_calling,no
[11:40:16], <Marjorie-Harceleur>, on donne notre avis,bully,none,no,none,no
[11:40:19], <Lucie-Harceleur>, mentalement elle est pas mieux tricher et sucer les profs pour avoir des bonnes notes,bully,victim,no,denigration,no
[11:40:29], <Michel-Soutien-Victime>, je ne comprend pas pourquoi sa vous préocuppe autant sopn physique,victim_support,none,no,none,no
