,Unnamed: 0,Unnamed: 1,Unnamed: 2,role,target,hate_speech,verbal_abuse,humor
0,leo77,11:08:43 AM, façon j'veux ps d'une crasseuse comme toi,bully_support,victim,no,denigration,no
1,Paul72,11:08:44 AM, Claire c'est pas le mot,bully_support,none,no,none,no
2,@FatimahVictime,11:08:48 AM, Je voudrais qu'on arrête de se moquer de moi et ma culture,victim,none,no,none,no
3,@FatimahVictime,11:09:30 AM, Salut Julie c'est avec toi que je voulais parler,victim,none,no,none,no
4,julie20,11:09:39 AM, la vie t'es fat ima,bully,victim,no,denigration,yes
5,coralie,11:09:48 AM, bizzarement ils insultent moins la,victim_support,none,no,none,no
6,@FatimahVictime,11:09:56 AM, arrête tes commentaires et de m'insulter dans mon dos tu crois que j'ai pas vu ton petit jeu... Et tes insinuations...,victim,none,no,none,no
7,leo77,11:10:09 AM, c'est une clocharde en meme temps,bully_support,victim,no,denigration,no
8,@FatimahVictime,11:10:15 AM, S'il te paît arrête.,victim,none,no,none,no
9,coralie,11:10:15 AM, ils ont meme pas d'interet a t'insulter,victim_support,none,no,none,no
10,julie20,11:10:26 AM, c pas dans ton dos chuis en face,bully,none,no,none,no
11,leo77,11:10:30 AM, bah on va voir en vrai si on va rien faire,bully_support,none,no,none,no
12,coralie,11:10:36 AM, mais regarde les ils peuvent que insulter vous pouvez argumenter ?,victim_support,none,no,none,no
13,@FatimahVictime,11:10:46 AM, FAT IMA .. tu as un humour incroyable !,victim,none,no,none,no
14,julie20,11:10:59 AM, oe je sais,bully,none,no,none,no
15,@FatimahVictime,11:11:01 AM," La dernière fois qu'on m'a fait cette blague, j'étais en maternelle.",victim,none,no,none,no
16,coralie,11:11:21 AM, c'est clair,victim_support,none,no,none,no
17,leo77,11:11:27 AM, bon tg tu parles trop,bully_support,victim,no,aggression-other,no
18,@FatimahVictime,11:11:35 AM, Leo..,victim,none,no,none,no
19,julie20,11:11:41 AM, tu casse les couilles,bully,victim,no,aggression-other,no
20,@FatimahVictime,11:11:42 AM, Tu n'as rien à faire ici..,victim,none,no,none,no
21,Paul72,11:11:44 AM, manges du couscous,bully_support,victim,yes,aggression-other,no
22,@FatimahVictime,11:11:49 AM, C'est entre moi et julie !,victim,none,no,none,no
23,leo77,11:11:58 AM, on va te faire manger du saucisson,bully_support,victim,yes,threat,no
24,coralie,11:12:10 AM, enfaite les gars vous savez pas harceler,victim_support,none,no,none,no
25,julie20,11:12:12 AM, trahisonnnnnnnnn,bully,none,no,none,no
26,coralie,11:12:15 AM, vous etees des breles,victim_support,bully/bully_support,no,denigration,no
