,,,role,target,hate_speech,verbal_abusehumor,
[2019-06-13 16:45:48], <Jim_SoutienH>, mec quand tu sautes tu provoques un séisme sur toute la terre,bully_support,victim,yes,denigration,no
[2019-06-13 16:45:55], <BriceVictimes>, yanis t'es bourré?,victim,none,no,none,no
[2019-06-13 16:45:57], <David_harceleur>, brice tu es mechant,bully_support,none,no,none,no
[2019-06-13 16:46:28], <BriceVictimes>," Jim: fais gaffe à ton cul alors,  je pourrais peut etre sauter sur toi..",victim,bully_support,no,threat,no
[2019-06-13 16:46:29], <David_harceleur>, brice t'es vraiment très gros,bully,victim,yes,denigration,no
[2019-06-13 16:46:51], <BriceVictimes>, ...,victim,none,no,none,no
[2019-06-13 16:46:59], <Jules_conciliate>, okok,conciliator,none,no,none,no
[2019-06-13 16:47:08], <Yanis_soutien>, frapper vous dans vrai vie au lieu d'être derriere un écran,victim_support,none,no,none,no
[2019-06-13 16:47:08], <Jules_conciliate>, david calme toi ,conciliator,none,no,none,no
[2019-06-13 16:47:10], <David_harceleur>, ferme la Brice,bully,victim,yes,name_calling,no
[2019-06-13 16:47:13], <BriceVictimes>, vous voulez que jje me jette d'un pont,victim,none,no,none,no
[2019-06-13 16:47:20], <Jules_conciliate>, ouais javoue yanis a raison ,conciliator,none,no,none,no
[2019-06-13 16:47:22], <David_harceleur>, tg jules,bully,conciliator,yes,name_calling,no
[2019-06-13 16:47:36], <Jim_SoutienH>, jules ftg,bully_support,conciliator,yes,name_calling,no
[2019-06-13 16:47:41], <Yanis_soutien>, ok pour le pont,victim_support,none,no,none,no
[2019-06-13 16:47:41], <David_harceleur>, vazy jette toi connard,bully,victim,yes,name_calling,no
[2019-06-13 16:47:42], <Jules_conciliate>, nan nan tinquiète brice pas de prob,conciliator,none,no,none,no
[2019-06-13 16:48:07], <BriceVictimes>, je vous mange tous,victim,none,no,none,no
[2019-06-13 16:48:11], <David_harceleur>, brice jette toi ,bully,none,no,none,no
[2019-06-13 16:48:16], <Amine_soutienH>, Brice bien jouer pour ton role lorsque tu as fait la boule dans indiana jones,bully_support,victim,yes,denigration,no
[2019-06-13 16:48:29], <Jules_conciliate>, nan c'est fort boyard ,conciliator,none,no,none,no
[2019-06-13 16:48:31], <David_harceleur>, oe on sais que tu mange beacoup,bully,none,no,none,no
[2019-06-13 16:48:56], <BriceVictimes>, vous ete pas genti.,victim,none,no,none,no
[2019-06-13 16:49:04], <Yanis_soutien>, qui pour un kebab ?,victim_support,none,no,none,no
[2019-06-13 16:49:09], <Amine_soutienH>," il manque un ""l""",bully_support,none,no,none,no
[2019-06-13 16:49:29], <David_harceleur>, toi aussi gros porc,bully,victim,yes,name_calling,no
[2019-06-13 16:49:31], <BriceVictimes>, Amine: il te manque une claque dans la gueule,victim,none,no,none,no
[2019-06-13 16:49:53], <Amine_soutienH>, arrete si brice mange plus il vas exploser,bully_support,victim,yes,denigration,no
[2019-06-13 16:50:03], <David_harceleur>, brice eeeooooo,bully,none,no,none,no
[2019-06-13 16:50:04], <Jim_SoutienH>, nouvelle bombe atomique,bully_support,victim,yes,denigration,no
[2019-06-13 16:50:07], <Jules_conciliate>, ya pas de s à vas amine ,conciliator,none,no,none,no
[2019-06-13 16:50:11], <Yanis_soutien>, au pire on mange Brice y'a de quoi manger pour trois jour,victim_support,victim,yes,denigration,no
[2019-06-13 16:50:36], <Jim_SoutienH>, pas du tout on nourrit toute l afrique pendant 3 ans,bully_support,victim,yes,denigration,no
[2019-06-13 16:50:40], <David_harceleur>, tbrice tu es une merde,bully,victim,yes,name_calling,no
[2019-06-13 16:50:49], <David_harceleur>, une sacree merde ,bully,victim,yes,name_calling,no
[2019-06-13 16:50:51], <Jules_conciliate>, bon aller les gars jme taille vous foutez la honte ,conciliator,none,no,none,no
[2019-06-13 16:50:53], <BriceVictimes>," faite les malins,  je vais faire de la muscu",victim,none,no,none,no
[2019-06-13 16:50:53], <David_harceleur>, connard ,bully,victim,yes,name_calling,no
[2019-06-13 16:50:55], <David_harceleur>, fdp,bully,victim,yes,name_calling,no
[2019-06-13 16:51:00], <BriceVictimes>, bon enlevez cette photo,victim,none,no,none,no
[2019-06-13 16:51:03], <BriceVictimes>, sinon,victim,none,no,none,no
[2019-06-13 16:51:03], <David_harceleur>, nike ta mere connard,bully,victim,yes,name_calling,no
[2019-06-13 16:51:04], <Amine_soutienH>, commence par te lever,bully_support,victim,yes,denigration,no
[2019-06-13 16:51:23], <David_harceleur>, je vais la mettre sur* insta ta photop,bully,none,no,none,no
[2019-06-13 16:51:46], <BriceVictimes>, je vous aimes les gars p'tin,victim,none,no,none,no
