,,,role,target,hate_speech,verbal_abusehumor,
[11:30:03 AM], <Coralie-Soutien-Victime>, bon julie t'arrete avec fatimah la cest toi la cochonne,victim_support,bully,yes,name_calling,no
[11:30:28 AM], <Léo-Soutien-Harceleur>, Il se passe quoi ici ?,bully_support,none,no,none,no
[11:30:55 AM], <Julie-Harceleur>, alors jvous bz tous,bully,none,yes,name_calling,no
[11:31:12 AM], <Léo-Soutien-Harceleur>, Oh ça insulte mdrrrrr,bully_support,none,no,none,no
[11:31:13 AM], <Pierre-Soutien-Victime>, tu bz qui toi,victim_support,bully,no,none,no
[11:31:14 AM], <Julie-Harceleur>, vous êtes tous mes putes,bully,none,yes,name_calling,no
[11:31:21 AM], <Fatimah-Victime>, c'est qui tous julie? jcomprends pas,victim,bully,no,none,no
[11:31:34 AM], <Coralie-Soutien-Victime>, mais gros lol cquoi ton pb va te pendre sal pute,victim_support,bully,yes,name_calling,no
[11:31:37 AM], <Julie-Harceleur>, toi en particulier,bully,victim,no,none,no
[11:31:45 AM], <Fatimah-Victime>," aaaaaaaaaah ouais,  moi et pourquoi ?",victim,none,no,none,no
[11:31:50 AM], <Léo-Soutien-Harceleur>, Ayouuuuu,bully_support,none,no,none,no
[11:31:56 AM], <Coralie-Soutien-Victime>, julie ftg,victim_support,bully,yes,name_calling,no
[11:31:58 AM], <Julie-Harceleur>, prcq tu chauffes tous les mecs,bully,victim,no,blaming,no
[11:32:02 AM], <Fatimah-Victime>, vasi Leocalme toi laisse julie parler,bully,bully_support,no,none,no
[11:32:13 AM], <Pierre-Soutien-Victime>, tu va te detendre julie,victim_support,bully,no,none,no
[11:32:13 AM], <Fatimah-Victime>, quelle sexplique,victim,bully,no,none,no
[11:32:15 AM], <Pauline-Conciliateur>, Ca sert a rien de se prendre la tête franchement,conciliator,none,no,none,no
[11:32:32 AM], <Léo-Soutien-Harceleur>, Bah scuse moi j'trouve ça marrant à peine on arrive y'a embrouille mdrrrrrr C'est toi laisse la parler wsh,bully_support,none,no,none,no
[11:32:55 AM], <Pierre-Soutien-Victime>, a quelle moment c'est drole d'insulte les gens,victim_support,none,no,none,no
[11:32:58 AM], <Fatimah-Victime>," ah ouais,  toi on insulte,  et tut trouves ça marrant",victim,bully_support,no,none,no
[11:33:02 AM], <Coralie-Soutien-Victime>, clairement,victim_support,none,no,none,no
[11:33:08 AM], <Pauline-Conciliateur>, c'est pas grave d'avoir des complexes d'infériorité :),conciliator,none,no,none,no
[11:33:13 AM], <Coralie-Soutien-Victime>, vous croyez vous etes droles ? ,victim_support,none,no,none,no
[11:33:28 AM], <Julie-Harceleur>, oooooooh fatima retourne faire ton  ramadan a la con ça te fera pas de mal,bully,victim,yes,denigration,no
[11:33:35 AM], <Léo-Soutien-Harceleur>, Oof,bully_support,none,no,none,no
[11:33:41 AM], <Julie-Harceleur>, ça te menera peut être a la mort,bully,victim,yes,none,no
[11:34:00 AM], <Coralie-Soutien-Victime>, julie nva sucer tes grans mort,victim_support,bully,yes,name_calling,no
[11:34:00 AM], <Fatimah-Victime>," aaaaaaaaaaaaaaaaaaaa ok,  c'est ça ton problème mais ptete que si toi aussi tu arreter de manger du porc tu serais moi aggressive!",victim,bully,yes,denigration,no
[11:34:44 AM], <Julie-Harceleur>, coralie je commence par les tiens,bully,victim_support,no,threat,no
[11:34:45 AM], <Coralie-Soutien-Victime>, krkrkr bien dit,victim_support,victim,no,none,no
[11:34:57 AM], <Pauline-Conciliateur>, Julie pourquoi tu lui fait ca ? c'est juste une question de jalousie ? tu as quel age sérieusement ?,conciliator,bully,no,none,no
[11:34:58 AM], <Léo-Soutien-Harceleur>, Allez du fight là mdrrrr,bully_support,none,no,none,no
[11:35:01 AM], <Fatimah-Victime>, mais laisse les morts de Coralie-soutiend tranquil,victim,bully,no,none,no
[11:35:18 AM], <Coralie-Soutien-Victime>, c'est mes morts qui te sucent julie,victim_support,bully,yes,none,no
[11:35:21 AM], <Fatimah-Victime>," chépa,  la meuf se lache,  elle sait rien et elle crache vasi",victim,bully,no,none,no
[11:35:41 AM], <Coralie-Soutien-Victime>, clairment,victim_support,none,no,none,no
[11:36:04 AM], <Fatimah-Victime>, et clairement LeoSoutienduharc vaut pas mieux,victim,bully_support,no,none,no
[11:36:16 AM], <Pierre-Soutien-Victime>, oui grave,victim_support,none,no,none,no
[11:36:17 AM], <Coralie-Soutien-Victime>, j'espere un jour c'est les porcs qui te chieront dessus,victim_support,none,no,threat,no
[11:36:22 AM], <Julie-Harceleur>, bon fatima retourne dans ton pays et casse pas les couilles,bully,victim,yes,denigration,no
[11:36:23 AM], <Coralie-Soutien-Victime>, julie,victim_support,bully,no,none,no
[11:36:31 AM], <Fatimah-Victime>, quel pays,,,,,
[11:36:41 AM], <Léo-Soutien-Harceleur>, Ah mdr m'embrouille pas par contre mdr moi j'suis là j'bouffe du pop corn je fais rien d'autre ,,,,,
[11:36:43 AM], <Fatimah-Victime>, ouèch chuis plus française que toi,,,,,
[11:36:45 AM], <Pierre-Soutien-Victime>, elle est en france frr,,,,,
[11:36:46 AM], <Julie-Harceleur>, paul t'es ou frrr,,,,,
[11:37:03 AM], <Léo-Soutien-Harceleur>, J'vous regarde vous fight c'est si drôle bahahah,,,,,
[11:37:17 AM], <Pauline-Conciliateur>, vas dormir tu sers a rien ,,,,,
[11:37:19 AM], <Julie-Harceleur>, retourne en algerie,,,,,
[11:37:24 AM], <Fatimah-Victime>, tumfais vomir LeoSoutienduharc,,,,,
[11:37:26 AM], <Pierre-Soutien-Victime>, c'est super drole dit donc,,,,,
[11:37:36 AM], <Coralie-Soutien-Victime>, et toi retourne en enfer sal epute de julie ,,,,,
